VendorID,lpep_pickup_datetime,lpep_dropoff_datetime,store_and_fwd_flag,RatecodeID,PULocationID,DOLocationID,passenger_count,trip_distance,fare_amount,extra,mta_tax,tip_amount,tolls_amount,ehail_fee,improvement_surcharge,total_amount,payment_type,trip_type,congestion_surcharge
2,02/09/2022 04:22:00 AM,02/09/2022 04:29:00 AM,,,129,83,,0.88,7.7,0,0,0,0,,0.3,8,,,
1,02/09/2022 04:24:10 AM,02/09/2022 04:48:25 AM,N,1,41,141,1,3.8,17,2.75,0.5,1.45,0,,0.3,22,1,1,2.75
2,02/09/2022 04:29:53 AM,02/09/2022 04:32:13 AM,N,1,129,82,1,0.03,3,0.5,0.5,0,0,,0.3,4.3,2,1,0
2,02/09/2022 04:33:53 AM,02/09/2022 04:58:54 AM,N,1,244,127,1,5.08,20.5,0.5,0.5,0,0,,0.3,21.8,2,1,0
1,02/09/2022 04:40:22 AM,02/09/2022 05:03:45 AM,N,1,89,138,1,15.8,43.5,0.5,0.5,5,0,,0.3,49.8,1,1,0
2,02/09/2022 04:47:19 AM,02/10/2022 04:33:57 AM,N,1,173,258,2,9.9,38,0.5,0.5,0,0,,0.3,39.3,2,1,0
2,02/09/2022 04:55:35 AM,02/09/2022 05:05:43 AM,N,1,82,197,1,5.87,17.5,0.5,0.5,0,0,,0.3,18.8,2,1,0
2,02/09/2022 05:00:50 AM,02/09/2022 05:06:11 AM,N,1,244,152,1,1.3,6,0.5,0.5,0,0,,0.3,7.3,2,1,0
1,02/09/2022 05:17:13 AM,02/09/2022 05:34:23 AM,N,1,129,37,1,5.8,19.5,0.5,0.5,0,0,,0.3,20.8,2,1,0
2,02/09/2022 05:18:41 AM,02/09/2022 05:23:30 AM,N,1,74,41,1,1.1,6,0.5,0.5,0,0,,0.3,7.3,1,1,0
2,02/09/2022 05:21:47 AM,02/09/2022 05:27:11 AM,N,1,159,69,1,0.72,5.5,0.5,0.5,0,0,,0.3,6.8,2,1,0
2,02/09/2022 05:26:00 AM,02/09/2022 05:56:00 AM,,,90,132,,17.15,55.18,0,0,14.21,6.55,,0.3,78.99,,,
2,02/09/2022 05:27:45 AM,02/09/2022 05:43:20 AM,N,1,75,68,1,4.78,16,0.5,0.5,2,0,,0.3,22.05,1,1,2.75
1,02/09/2022 05:30:59 AM,02/09/2022 05:45:50 AM,N,1,75,239,1,2.1,11,2.75,0.5,2.9,0,,0.3,17.45,1,1,2.75
2,02/09/2022 05:33:14 AM,02/09/2022 06:02:40 AM,N,5,92,177,2,12.68,45,0,0,0,0,,0.3,45.3,2,2,0
2,02/09/2022 05:37:51 AM,02/09/2022 05:43:57 AM,N,1,226,260,1,0.84,6,0.5,0.5,0,0,,0.3,7.3,2,1,0
2,02/09/2022 05:38:25 AM,02/09/2022 05:47:09 AM,N,1,74,166,1,1.51,8,0.5,0.5,0,0,,0.3,9.3,2,1,0
2,02/09/2022 05:40:46 AM,02/09/2022 06:00:55 AM,N,1,116,231,1,8.29,25,0.5,0.5,8.72,0,,0.3,37.77,1,1,2.75
2,02/09/2022 05:45:00 AM,02/09/2022 06:00:00 AM,,,7,112,,2.91,13.1,0,0,2,0,,0.3,15.4,,,
1,02/09/2022 05:47:49 AM,02/09/2022 06:42:42 AM,N,1,39,136,1,0,63.2,0,0.5,0,6.55,,0.3,70.55,1,1,0
2,02/09/2022 05:56:35 AM,02/09/2022 06:04:28 AM,N,1,74,262,1,2.4,9,0.5,0.5,2.61,0,,0.3,15.66,1,1,2.75
2,02/09/2022 05:56:43 AM,02/09/2022 06:09:03 AM,N,1,166,48,1,3.53,13,0.5,0.5,2.02,0,,0.3,19.07,1,1,2.75
2,02/09/2022 05:59:13 AM,02/09/2022 06:06:04 AM,N,1,74,75,1,1.42,7,0.5,0.5,1.49,0,,0.3,9.79,1,1,0
1,02/09/2022 06:05:39 AM,02/09/2022 06:23:41 AM,N,1,75,236,1,1.6,11.5,2.75,0.5,0,0,,0.3,15.05,2,1,2.75
1,02/09/2022 06:07:07 AM,02/09/2022 06:37:47 AM,N,1,244,45,1,0,29.2,0,0.5,0,0,,0.3,30,1,1,0
2,02/09/2022 06:08:00 AM,02/09/2022 06:08:00 AM,,,132,132,,0.01,59.21,0,0,12.97,0,,0.3,72.48,,,
2,02/09/2022 06:08:52 AM,02/09/2022 06:14:38 AM,N,1,130,130,1,1.42,6.5,0,0.5,0,0,,0.3,7.3,2,1,0
2,02/09/2022 06:09:51 AM,02/09/2022 06:34:08 AM,N,1,116,231,1,8.18,26.5,0,0.5,0,0,,0.3,30.05,1,1,2.75
2,02/09/2022 06:10:30 AM,02/09/2022 06:21:01 AM,N,1,75,162,1,2.65,10.5,0,0.5,2.81,0,,0.3,16.86,1,1,2.75
2,02/09/2022 06:16:32 AM,02/09/2022 07:09:19 AM,N,1,108,55,1,10.24,38.5,0,0.5,0,0,,0.3,39.3,2,1,0
1,02/09/2022 06:16:33 AM,02/09/2022 06:28:21 AM,N,1,74,42,1,0,18.2,0,0.5,0,0,,0.3,19,1,1,0
2,02/09/2022 06:18:00 AM,02/09/2022 06:36:00 AM,,,52,137,,5,21.12,0,0,2.67,0,,0.3,26.84,,,
